epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3073.58,0.77679,0.54361,1.11243,0.95306,0.91634,0.93717,0.58728,1.43423,0.61366,2.1358,0.0005941,0.0005941,0.0005941
43,3146.45,0.77686,0.5179,1.11344,0.96636,0.96039,0.96967,0.61307,1.36932,0.55982,2.108,0.0005842,0.0005842,0.0005842
44,3219.35,0.76709,0.53537,1.10998,0.92336,0.89424,0.93558,0.56821,1.48966,0.6488,2.25586,0.0005743,0.0005743,0.0005743
45,3292.25,0.77403,0.5229,1.10763,0.91283,0.90203,0.94854,0.59255,1.42917,0.69025,2.1838,0.0005644,0.0005644,0.0005644
46,3365.15,0.74963,0.51426,1.10099,0.91311,0.89997,0.93329,0.59122,1.48126,0.57594,2.29007,0.0005545,0.0005545,0.0005545
47,3437.93,0.78295,0.52971,1.11542,0.93772,0.9069,0.95114,0.59561,1.44413,0.63337,2.16899,0.0005446,0.0005446,0.0005446
48,3510.78,0.75652,0.50414,1.09724,0.88847,0.91365,0.95581,0.5998,1.40172,0.67735,2.1148,0.0005347,0.0005347,0.0005347
49,3583.65,0.75079,0.51017,1.09801,0.92054,0.83686,0.90766,0.55375,1.48444,0.72704,2.23621,0.0005248,0.0005248,0.0005248
50,3656.47,0.7611,0.50618,1.10835,0.86562,0.88619,0.95095,0.60231,1.4449,0.65145,2.14583,0.0005149,0.0005149,0.0005149
51,3729.27,0.74421,0.49116,1.09698,0.94144,0.93446,0.95535,0.57507,1.48751,0.57556,2.20989,0.000505,0.000505,0.000505
52,3802.15,0.75296,0.50345,1.10392,0.91314,0.86701,0.91138,0.57048,1.42293,0.63496,2.18744,0.0004951,0.0004951,0.0004951
53,3874.96,0.74041,0.48266,1.08099,0.89338,0.8692,0.91092,0.55277,1.4785,0.70246,2.25817,0.0004852,0.0004852,0.0004852
54,3947.82,0.73395,0.48554,1.09525,0.90913,0.85138,0.91724,0.58434,1.4521,0.67653,2.22054,0.0004753,0.0004753,0.0004753
55,4020.55,0.75142,0.48928,1.09891,0.92783,0.91632,0.96184,0.59929,1.39907,0.61242,2.12556,0.0004654,0.0004654,0.0004654
56,4093.44,0.73512,0.47867,1.0828,0.93664,0.90123,0.93631,0.5872,1.43273,0.59517,2.21677,0.0004555,0.0004555,0.0004555
57,4166.29,0.739,0.47948,1.095,0.92825,0.93167,0.95755,0.60272,1.38775,0.58854,2.1541,0.0004456,0.0004456,0.0004456
58,4239.2,0.72015,0.47478,1.07931,0.94667,0.9341,0.96504,0.6052,1.38638,0.5901,2.12638,0.0004357,0.0004357,0.0004357
59,4311.94,0.73274,0.4641,1.08543,0.91362,0.91816,0.94499,0.5939,1.44445,0.60515,2.22917,0.0004258,0.0004258,0.0004258
60,4384.72,0.72947,0.47825,1.08446,0.86567,0.9274,0.94926,0.60658,1.41346,0.64243,2.18662,0.0004159,0.0004159,0.0004159
61,4457.44,0.7413,0.49152,1.08893,0.93482,0.9097,0.94417,0.61565,1.39106,0.56269,2.18326,0.000406,0.000406,0.000406
